Manmino,Old Word,Type,Hanji Spelling,Definition
giday,giday,,期待,"(v,n) to expect; await; expectations; anticipation"
gengjeng,giengjeng,,競爭,(v) to compete
gengyo,giengji,,鯨魚,(n) whale
gengjo,giengjow,,競走,(v) to race
gilin,gilin,,麒麟,(n) a kind of mythical creature of East Asia
gingin,gingin,,近近,"close, nearby"
ginsi,ginsi,,近時,(n) near future
gyongdong,giongdong,,共同,"(n,adj-no) doing together (as equals); sharing; common (land, etc); cooperation; collaboration; association;"
gyongsanjui,giongsanjiuyi,,共産主義,(n) communism
gyongyu,giongwu,,共有,(v) to share
gisyut,gisut,,技術,(n) technique; skill; technology
gwangpan,gwangpan,,,"(n) fan (stalker, obsessive to a new level) "
guda,guda,,,(n) shoes
ha,ha,,下,"down, below"
,,,,
ha,ha,,,(prn) under
habansin,habuansin,,下半身,(n) lower half of the body;
hacen,hacen,,河川,(n) river
hadi,hadi,,何地,which place; where
hahang,hahang,,下降,"(v) to descend, decline, fall (rain, things) (not dangerous)"
hakgi,hakgi,,學期,"(n,adj-no) school term; semester;"
hakhyaw,hakhaw,,學校,(n) school (usually public)
hakyen,hakhuan,,學院,(n) academy (possibly private); insitute
hagip,hakip,,下級,(n) low tier
hakja,hakjia,,學者,(n) scholar
hakkwa,hakkua,,學科,(n) study subject; course of study
hakset,hakset,,學說,(n) theory;
hakseng,haksieng,,學生,(n) student; younger individual
haksip,haksip,,學習,(v) to study; learn (scholarly)
hagwi,hakuy,,夏季,(n) summer
hakwi,hakwuy,,學位,(n) (university) degree;
hali,hali,,,(n) the sun
hocing,hamcing,,呼稱,"(v) to be called, named (reflexive)"
hohip,hamhip,,呼吸,(v) to breathe
holi,hamli,,狐狸,(n) fox;
homeng,hammieng,,呼名,(v) to be called for by name
handengban,handengban,,限定版,(adj) limited edition
hang,hang,,行,"(v) to pass, to go, to do"
hanggeng,hanggieng,,項頸,(n) neck
hangjeng,hangjeng,,抗爭,(v) to fight in resistance; to revolt
hangkong,hangkong,,航空,(adj) aeronautic
hangmut,hangmut,,行物,(n) luggage
hanin,hanin,,何人,which person; who
hanyo,hanio,,何如,how
hangwok,hankok,,韓國,(n) korea;
hangwoknin,hankoknin,,韓國人,(n) korean
hanmando,hanmuandow,,韓饅頭,(n) Korean dumplings
hangwoko,hano,,韓國語,(n) Korean language
hapcang,hapciang,,合唱,(v) to sing together
hapgak,hapkak,,合格,"(v) to qualify, to pass, to finish well (school, task)"
