Manmino,Old Word,Type,Hanji Spelling,Definition
hwaysyu,,,回收,(v) to recycle; to reclaim; to retrieve; recovery; retrieval
enhwey,,,恩惠,(n) favor; grace; kindness; favour; blessing
yulay,,,由來,"(v, n) to originate (from); to date back to; to be derived from; origin"
syali,,,舍利,(n) ashes after cremation; Buddhist relics (Sanskirt: sarira)
wigwot,,,遺骨,(n) human remains; cremated remains; ashes
gwot,,,骨,(n) bone
haygwot,,,骸骨,(n) (anatomy) skeleton; skeletal remains
hwapim,,,化粧品,(n) cosmetic; makeup product; make-up; 
hwajang,,,扮裝,"(v, n) to dress up; make-up, get-up, disguise, costume"
jengji,,,政治,(n) politics; governmental affairs
gaset,,,假設,"(v, n) to suppose; presume; assume; conjecture; assumption"
syujip,,,蒐集,"(v, n) to gather; collect; accumulating; collection (of art, stamps, insects, etc.)"
yayli,,,銳利,"(adj) sharp, keen, acute; sharpedged; penetrating"
dawgyu,,,道具,(n) tool; implement; instrument; utensil; item (gaming) 
kihay,,,器械,(n) weapon; instrument; equipment; apparatus
gawbek,,,告白,"(v, n) to announce publicly; explain oneself; reveal one's feelings; confess; declare one's love; admission; confession"
nam,,,男,(n) boy; man; guys; boys; men (slang)
japji,,,雜誌,(n) journal; magazine; newspaper; 
langdok,,,朗讀,"(v, n) to read aloud; recitation"
pamet,,,破滅,"(v, n) to be shattered; to be annihilated; ruin; destruction; fall; downfall"
aplik,,,壓力,"(n, adj) pressure, stress; stressful"
jengsyang,,,正常,"(n, adj) regular; normal; ordinary; normalcy; normality"
yuk,,,粥,"(n) plain rice porridge congee, rice porridge made of only white rice and water"
namgen,,,男根,(n) penis; cock; phallus
junbi,,,準備,"(v, n) to prepare; preparation; readiness; getting ready"
epjek,,,業績,"(n) achievement, performance, results, work, contribution"
ginmu,,,勤務,"(n) work; duty; service to military, company etc."
jakpim,,,作品,"(n) performance, production; a creative work or product; work (of an author, painter, musician, etc.)"
lawdong,,,勞動,(n) physical labor; manual labor; manual labour; toil; work;
lawdonglik,,,"勞動力","(n) labor force; manpower"
yoen,,,預言,"(v, n) to predict; prophecy; divination; soothsaying"
sithen,,,實現,(v) to achieve; implement; realize; bring about; carry out
unmeng,,,運命,"(n) destiny, fate; one's fortune"
doksin,,,獨身,(adj) single; unmarried
jangtan,,,長嘆,"(v, n) long sigh; deep sigh"
hwokseng,,,惑星,(n) planet
deyni,,,第二,(n) second; number two; secondary
deysam,,,第三,(n) third; number three
deynigi,,,第二期,"(n) season two (of a show, anime, etc)"
nitho,,,日後,sometime; someday (in the future)
gyunjip,,,群集,"(v, n) to gather crowd, community, group, herd, gathering, assembly; congregate; aggregate"
osyang,,,偶像,"(n) image, idol, icon of veneration or worship)"
gojip,,,固執,"(adj) obstinate; stubborn; sticking to (an opinion, theory, belief, etc.); unreasonable"
panekja,,,飜譯者,(n) translator
jengjik,,,正直,"(adj, adv, n) honest, frank, candid, straightforward; honestly; frankly; upright; upstanding; "
sinsit,,,信實,"(adj, n) trustworthy; reliable; sincerity; honesty; truth; faithfulness"
caw,,,超,"super-, ultra-, hyper-, extreme; extremely, really, totally, very"
dawjek,,,盗賊,(n) thief; robber; burglar; bandit
laptop,,,,(n) laptop; notebook
jwacang,,,痤瘡,(n) acne; pimple
byuben,,,不便,"(adj, n) inconvient; inconvenience, inexpediency, unhandiness"
sutika,,,,(n) sticker
deyt,,,,"(v, n) to date; go out with; be in a relationship; date"
konbensyon,,,,(n) convention (ie. anime con)
naypu,,,,(n) knife; knives
sibal,,,,(n) shitty; bad; inconvenient; annoying (slang)
bondyawdan,,,笨屌蛋,(n) stupid penis egg; idiot; jerk (slang) 
cihan,,,癡漢,(n) pervert; sexual harasser; molester; groper; 
syuim,,,手淫,"(v, n) to masturbate; masturbation"
imdaw,,,陰道,(n) vagina
gengak,,,驚愕,"(v, n) to stun; to shock and amaze; stupefied; astonishment (good surprise)"
hengun,,,幸運,(n) good fortunate; good luck;
sikasika,,,,(n) sound of brushing teeth
nyamnyam,,,,(n) sound of eating; biting
gugokgugok,,,,(n) sound of drinking; gulping; swallowing
dukduk,,,,(n) sound of a heart beating
gep,,,,(n) sound of burping; belching
bung,,,,(n) sound of flatulence; fart; toot
acwi,,,,(n) sound of sneezing; a sneeze
gulu,,,,(n) sound of snoring; snore 
uwa,,,,(n) sound of yawning
uwe; uwa,,,,(n) sound of a baby crying
aya,,,,(n) sound of a scream; shriek; shout
su,,,,"(n) sound of hushing; ""shhh"""
aa/ee/aam/eem,,,,(n) sound of thinking or pausing
haha/keke,,,,(n) sound of laughter; laughing
cwa,,,,(n) sound of a kiss; smooching; kissing
kokkok,,,,(n) sound of a chicken clucking
ko'ke'kokkokkok,,,,(n) sound of a rooster crowing
gaga,,,,(n) sound of a goose calling
kwekkwek,,,,(n) sound of a duck calling
cikcik,,,,(n) sound of a bird; tweet; tweeting; chirp; chirping
kaakaa,,,,(n) sound of a crow calling
huhu,,,,(n) sound of a owl hooting
myaw,,,,(n) sound of a cat meowing
wangwang,,,,(n) sound of a dog barking
awu,,,,(n) sound of a dog or wolf howling
hinhin,,,,(n) sound of a horse neighing
umo,,,,(n) sound of a cow mooing
ume,,,,(n) sound of a sheep or goat
gaw'ong,,,,(n) sound of a lion/tiger
ukki,,,,(n) sound of a monkey
bun,,,,(n) sound of a bee buzzing
gelogelo,,,,(n) sound of frog croaking
pang,,,,(n) sound of bang; crash; gunshots; gunfire; car horn honking
cakcak,,,,"(n) sound of camera shutter, ""click"""
gigok,,,,(n) sound of door or floor creaking
toktok,,,,(n) sound of door knocking; water dropping; rain
panpan,,,,(n) sound of balloon or bubbles bursting
bulobulo,,,,(n) sound of car engine revving
tiktak,,,,(n) sound of clock ticking
pingpon,,,,(n) sound of doorbell ringing
katkat,,,,(n) sound of keyboard typing
lingling,,,,(n) sound of phone ringing
pipopipo,,,,(n) sound of siren wailing
cupokcupok,,,,(n) sound of train whistling
pyupyu,,,,(n) sound of wind whistling
bokbok,,,,(n) sound of walking; taping
suknyo,,,熟女,"(n) attractive older woman (sexually), mature woman, MILF"
daban,,,大半,"(n) majority, more than half, most (of); mostly, largely, mainly, predominately"
dada,,,多多,very much; very many; more and more; lots and lots
dadaeksen,,,多多益善,"the more, the merrier; the more the better"
milik,,,魅力,"(n) charm, attractiveness, (sex) appeal; charisma; fascination, glamour, glamor,"
hipin,,,吸引,"(v, n) to attract; attractive, captivating, seductive; (physics) gravitation"
hipinlik,,,吸引力,(n) sex appeal; attractiveness; attraction; attractive power/force
jaydo,,,再度,"once more; once again; one more time"
ingwa,,,因果,(n) karma; cause and effect
bengday,,,繃帶,"bandage; dressing"
jay,,,在,(v) to be (location)
hepi,,,協議,"(n) conference, consultation, discussion, negotiation (in a legal sense)"
nyo,,,女,(n) girl; chick; women; girls;
getgyok,,,結局,"(n, phrase) in the end; ultimately; conclusion; ending; after all"
getgwa,,,結果,"(n) result, consequence, outcome, effect; coming to fruition, (agriculture) bearing fruit; as a result, consequently, therefore"
bitgeng,,,畢竟,(phrase) after all; all in all; when all is said and done;
hiphwetgwi,,,吸血鬼,(n) leech; bloodsucking vermin; vampire; bloodsucker
cawjinyen,,,超自然,"(n, adj) supernatural; supernaturalism; occult; transcendental"
cawnenglik,,,超能力,(n) supernatural power; extrasensory perception; psychic ability; ESP
igyawdo,,,異敎徒,(n) pagan; paganism; heretic; heathen
binbin,,,頻頻,very frequently; very often; repeatedly; constantly; incessantly; without stop
maynit,,,每日,everyday; every day
bun,,,分,(n) minute
maybun,,,每分,every minute
hyukyay,,,休憩,(v) to rest; take a break; break; recess; 
dasyaw,,,多少,"a little, a few; more or less; somewhat"
yuhak,,,遊學,"(v, n) to study abroad; studying abroad; travelling to study; traveling to study"
jisi,,,指示,"(v,n) to point out; indicate; instructions; directions"
bangbap,,,方法,"(n) method, process, manner, way, means, technique"
gasi,,,歌詞,(n) song lyrics; lyrics
byujap,,,複雜,"(adj, n) complex, complicated, intricate, mixed (feelings)"
syubap,,,手法,(n) technique; trick; skill
gamen,,,假面,(n) mask; disguise
cungbun,,,充分,enough; plenty; ample; sufficient; adequate; full; fully; 
yengbet,,,永別,"(v, n) to part forever; eternal parting (i.e. death)"
daygwendaw,,,跆拳道,(n) taekwondo; tae kwon do
jipdwan,,,集團,(n) group; clique; corporation (of people)
sengjang,,,成長,"(v, n) to mature; to grow; growth; development; growing up, becoming an adult"
nyet,,,熱,(n) heat; fever
lisik,,,利息,"(n) interest (on a loan, deposit, etc.)"
bawhem,,,保險,"(v, n) insurance; to insure;"
batmeng,,,發明,"(v, n) to invent; an invention"
ektey,,,液體,(n) liquid
gwengsan,,,鑛山,(n) mine (place from which ore is extracted)
enmu,,,煙霧,(n) smoke; mist; fog; vapor; smog; fumes
bing,,,冰,(n) ice
congdong,,,衝動,"(v, n) to have an urge; impulse; urge; impulsion"
jengda,,,增大,"(v, n) to enlarge; increase (size); get bigger"
jengga,,,增加,"(v, n) to raise; increase; growth, addition"
canepgekmeng,,,產業革命,(n) Industrial Revolution
ginmen,,,勤勉,"(adj, n) diligence; diligent; industrious"
jepmun,,,接吻,"(v, n) to kiss"
gethap,,,結合,"(v, n) to combine; link; integrate; binding"
ganip,,,加入,"(v, n) to become a member; join; group; participate in; joining (a club, organization, etc.)"
lyohang,,,旅行,"(v, n) to travel, trip, journey, excursion, tour"
simpan,,,審判,"(v, n) to referee; judge; umpire"
jaypan,,,裁判,"(v, n) to judge; trail (for) something (law)"
gawhwetap,,,高血壓,(n) high blood pressure; hypertension
nyuk,,,肉,(n) meat
yulyo,,,憂慮,(n) anxiety; worries; fear; concern; stress; worry
genbay,,,乾杯,"(v, exlm) cheers, bottoms-up, prosit; toast, to drink (in celebration or in honor of something)"
itbay,,,一杯,one cup
gajang,,,假裝,"(v, n) to masquerade; disguise; mask; costume"
gajak,,,假作,"(v, n) to pretend; fabricate; fiction; feign"
jungji,,,終止,"(v, n) to stop; to terminate; closure; cease; cessation"
dengca,,,停車,"(v, n) to park; (of a machine); topping (of a train, car, etc.); come to a stop"
nyak,,,若,(p) if; in the case of (formal)
penan,,,,greeting; are you well?
muyong,,,無用,(adj) useless; worthless
itsyun,,,一瞬,in an instant; instant; moment; in the twinkle of an eye
banghwa,,,放火,"(v, n) to set on fire; arson; to commit arson"
loben,,,爐邊,(n) fireside; fireplace; by the fire
syawbang,,,消防,"(v,n) to fight a fire; fire fighting; fire department; fire brigade"
hwajay,,,火災,(n) fire; blaze
hwaki,,,火氣,(n) internal heat; anger; trace of fire
hwageng,,,花梗,(n) stem of flower; flower stalk; peduncle
syoseng,,,野生,(adj) wild; undomesticated; growing wild; living in the wild
hwawan,,,花園,(n) garden; flower garden
kayhwa,,,開花,"(v, n) to bloom; blossom; flowers budding"
kayhwa,,,開化,"(v, n) to become civilized; civilization; civilisation, enlightenment"
hwabon,,,花盆,(n) flower pot
hwacaw,,,花草,(n) flower; plants
sikji,,,食事,(n) meal; dinner
sengjen,,,盛饌,(n) feast; rich fare; splendid food
bekben,,,白飯,(n) meal of plain cooked rice;
yobun,,,魚粉,(n) fish meal
konmil,,,,cornmeal
otmil,,,,oatmeal
gihay,,,機械,"(n, adj) machine; machinery; mechanical; appliance"
cwihen,,,出現,"(v, n) to appear;  emerge; show up; appearance; emergence; forthcoming"
cwien,,,出演,"(v, n) to appear (in a show etc); an appearance (on stage etc)"
moyang,,,模樣,(n) surface appearance; condition; appearance;
teyjay,,,體裁,(n) genre; style; format (ie. of an essay); 
dengjang,,,登場,"(v, n) to go on stage; fig. to appear on the scene; entry (on stage); appearance (on screen); entrance; introduction (into a market)"
sawnyen,,,騷然,"(adj) noisy, loud; confused, uproarious; turbulent"
jayneng,,,才能,(n) talent; ability; capacity; aptitude
pungmyaw,,,風貌,(n) looks; style; manner; ethos
ninsyang,,,人相,(n) physiognomy; facial features;
nimuk,,,耳目,(n) eyes and ears; seeing and hearing; one's attention
waymen,,,外面,"(n) outer surface, outward appearance, outside, exterior; external; "
ninmeng,,,人名,(n) personal name; person's name
jimeng,,,指名,"(v, n) to mention by name; to designate; designated; naming; nominating;"
gagakbyaw,,,價格表,(n) price list; price tag
lilek,,,履歷,(n) personal history; background; résumé; resume; curriculum vitae (CV)
wanjaylyaw,,,原材料,(n) raw materials or ingredients; unprocessed materials
singkek,,,乘客,(n) passenger
dobyaw,,,圖表,"(n) chart, diagram, graph, figure"
jangji,,,裝置,"(v, n) to install equipment; device; installation; "
enswan,,,演算,(n) to calculate; to perform calculations; calculation; operation
jikyen,,,職員,(n) office worker; staff member; employee; personnel
jusyo,,,住所,(n) address; habitation; dwelling place; residence; domicile
hobo,,,候補,"(v, n) candidate; contender; candidacy; to reserve a candidate"
kengya,,,傾斜,"(v, n)	to incline; lean; slant; slope; tilt; bevel; dip"
itpet,,,一瞥,(n) glance; glimpse; a look; a peak
mengsey,,,明細,"(n, adj) details, particulars, specifics; detailed; specification"
dengga,,,定價,"(v, n) to set a price; fix a price; list price; regular price; fixed price"
mayga,,,賣價,(n) selling price
muklyok,,,目錄,(n) list; catalogue; catalog; inventory; index; 
mengdan,,,名單,(n) list of names
handeng,,,限定,"(v, n) to restrict to; to limit; restriction; limitation"
ama,,,亞麻,(n) flax; linum; 
jitlyang,,,質量,(n) mass (physics)
misa,,,,"(n) catholic mass, a catholic service"
bigek,,,皮革,(n) leather; hide
syogan,,,書簡,(n) letter; note; epistle (literary) 
ma,,,,(p) if (informal) 
jungdwan,,,中段,(n)middle section; middle period; middle area; in the middle
mengsi,,,明示,"(v, n) to state explicitly; clearly indicate; specify"
lakdey,,,落第,"(v, n) to fail an exam; failure; failing grade; flunk"
jujek,,,足跡,"(n) mark, legacy; footprints; traces; what one leaves behind;"
cungong,,,竣工,"(v, n) to complete a project; completion (of construction)"
deksik,,,特色,(n) characteristic; distinguishing feature or quality
haknen,,,學年,"(n) school year; grade, year; academic year"
sengjek,,,成績,(n) achievement; performance records; grade (school)
demsak,,,點數,"(v, n) to count and check; to tally; marks; points; score; grade; runs (baseball)"
jusi,,,注視,"(v, n) to watch attentively; to gaze at; observe; watch over"
deygip,,,低級,(n) low level; rudimentary; low grade; cheap; low class
lyugip,,,留級,"(v, n) to repeat a year in school; to be held back; not being promoted"
demhwa,,,點火,"(v, n) to ignite; light a fire; start an engine; ignition; lighting; firing; setting off; inflammation"
henghwa,,,螢火,(n) light of a firefly; fairy light
dawtey,,,導體,(n) conductor (of electricity or heat)
kwayhwat,,,快活,"(adj, n) cheerful, lively, lighthearted; liveliness; buoyancy"
gwanghak,,,光學,(n) optics (physics of light and vision)
gwangnen,,,光年,(n) light year (astronomy)
sinhawdeng,,,信號燈,"(n) traffic lights, signal light; car indicator"
semgwang,,,閃光,(n) flash (burst of light)
gwanglyang,,,光量,(n) quantity of light; luminosity; intensity of light
gwangwan,,,光源,(n) light source
dendeng,,,電燈,(n) light; lamp; electric light
gwangsok,,,光速,(n) speed of light; light speed
denghwa,,,燈火,(n) light; lamp; torch
jisik,,,知識,"(n) knowledge, information"
lyukdi,,,陸地,(n) land; dry lang
lyuk,,,着陸,"(v, n) landing; touchdown; to land; to touch down"
baplyut,,,法律,(n) law
bengtan,,,平坦,"(adj, n) flatness, smoothness; even; flat; level; smooth;"
bengmen,,,平面,(n) level surface; a plane
lebel,,,,(n) level (in a videogame)
gay,,,階,(n) level/floor of a building; (ie. 1 gay)
oki,,,語氣,(n) tone; manner of speaking; mood
gaydwan,,,階段,"(n) stairs, stairway, staircase"
elabeyta,,,,(n) elevator; lift
sakdaw,,,索道,(n) cableway; ropeway
jonglyang,,,重量,(n) weight
kenglyang,,,輕量,"(adj, n) light (weight)"
kengjong,,,輕重,(n)lightness and heaviness; relative importance; severity (of the case);
yen,,,鉛,(n) lead (chemistry)
jikjep,,,直接,"(adj, n) direct; immediate; personal; firsthand"
ganjep,,,間接,"(adj, n) indirection, indirectness; indirect"
pandong,,,反動,(n) reaction; reactionary; counteraction; rebound
unjen,,,運轉,"(v, n) to drive; work; operate (a machine, car, train, etc)"
hawji,,,好事,"(n) a happy event; sth to celebrate; good action, deed;"
aksyu,,,握手,"(v, n) to shake hands; handshake"
jigo,,,事故,(n) accident; incident
henjang,,,現場,"(n) the scene (of a crime, accident etc); the location of a thing or event"
bayjen,,,敗戰,(n) to lose a war; defeat (in a war or sporting event)
gengu,,,境遇,"(n) one's circumstances, conditions; situation (in life)"
ibentu,,,,"(n) event (english loan word, used in games and such)"
jelli,,,,(n) jelly
tet,,,鐵,(n) iron; steel
apjey,,,壓制,"(v, n) to suppress; to inhibit; to stifle; oppression; tyranny; despotism"
jayjay,,,再再,(n) again; often; more; over and over; a lot; frequently (slang)
batengwen,,,發言權,(n) the right of speech; the right to speak
jenbet,,,餞別,"(v, n) to give a farewell dinner; to say goodbye with a banquet"
unun,,,云云,"and so on; so and so; and so forth, etc..."
simmun,,,審問,"(v, n)to interrogate; to examine; to question; inquisition; interrogation"
cengcun,,,青春,(n) youth; adolescence; young days
hando,,,限度,(n) limit; cap
gikhan,,,極限,(n) utmost limits; extremity; limit
jwaydahan,,,最大限,(n) maximum limit; to the maximum
sihan,,,時限,(n) time limit; a deadline
gyokhan,,,局限,"(v, n) to limit; confine; , localize, localise; localisation"
hwangmu,,,荒蕪,"(adj, n) overgrown; grown wild; wildness"
nensyaw,,,年少,"(adj, n) young; juvenile; junior"
lawsyaw,,,老少,(n) the old and the young
yusyaw,,,幼少,(n) infancy; childhood; tender age
mongsyang,,,夢想,"(v, n) to dream of; dream; reverie"
yam,,,,(n) night
anyam // an'yam,,,,good night; night night
anaca // an'aca,,,,good morning
kaybatja,,,開發者,(n) developer
gapo,,,解剖,"(v, n) to dissect; analyze; dissection; autopsy; analysis"
cinyok,,,恥辱,"(adj, n) disgrace; shame; humiliation"
dapa,,,打破,"(v, n) to break; smash; defeat; defeating; abolishing"
juya,,,昼夜,(n) day and night
ekjen,,,逆転,"(v, n) reversal; change; to reverse"
swimenbyuju,,,睡眠不足,(n) lack of sleep; sleep deficit 
yuutjing,,,憂鬱症,(n) severe depression (clinical); melancholia
byugengki,,,不景氣,(n) in a slump; hard times; recession;
byujin,,,不振,"(adj, n) dullness; slump; depression"
sukji,,,熟知,"(v, n, adj) being familiar with, having a thorough knowledge of,"
mensuk,,,面熟,"(adj) look familiar, familiar-looking"
gwonjung,,,昆蟲,(n) insect; bug
mak,,,麥,"(n) wheat, barley, oat (oats)"
mek,,,墨,(n) ink; ink stick
jisatmiswi,,,自殺未遂,(n) attempted suicide; (failed) suicide attemp
jisi,,,致死,(adj) deadly; lethal; fatal
itlyu,,,溢流,(adj) overflowing; spilled
ilay,,,以來,since (a previous event)
nyongjang,,,冗長,"(adj, n) long and tedious; redundant; tedious; lengthy"
deykiap,,,低氣壓,(n) low pressure; depression (meteorology)
benghway,,,崩壞,"(v, n) crumbling, breaking down, caving in; (radioactive) decay"
waga,,,瓦解,"(v, n) to collapse; downfall; disintegrate; crumble"
pacan,,,破產,"(v, n) to go bankrupt; bankruptcy"
cwimang,,,衰亡,"(v, n) to decline; to die out; decline and fall; downfall"
bondi,,,盆地,(n) basin (geography) 
gawsok,,,高速,(adj) highspeed; rapid; 
dekgip,,,特急,(adj) express; especially urgent; top priority
jakjakgwen,,,著作權,(n) copyright
yakday,,,虐待,"(v, n) to mistreat; to maltreat; to abuse;"
jannin,,,殘忍,(adj) merciless; ruthless; cold-blooded; brutal
dwayjek,,,堆積,"(n) a collection, a pile of"
bawgwan,,,保管,"(v, n) to have in hold in safekeeping; charge; custody; storage"
bawjinggim,,,保證金,(n) deposit (esp. on renting a house); cash deposit; bail; 
hwangdang,,,荒唐,(adj) absurd; nonsensical; ridiculous; idiotic; laughable; ludicrous; preposterous
gekmengga,,,革命家,(n) revolutionary
denhwamang,,,電話網,(n) telephone network
tongsinmang,,,通信網,(n) communications network
syanghwan,,,償還,"(v, n) to repay; to reimburse; repayment"
hwangip,,,還給,"(v, n) to return sth to sb"
pandey,,,反帝,(n) anti-imperialism; anti-imperialist
batpyaw,,,發泡,(adj) foaming; fizzy
twadang,,,妥當,(adj) fitting; proper; appropriate; valid
yuhyaw,,,有效,(adj) effectiveness; in effect; valid
liyong,,,利用,"(v, n) to exploit; to take advantage of; utilize; utilization "
dyawja,,,調查,"(v, n)to investigate; survey; inquire; investigation; examination; inquiry"
bangji,,,防止,"(v, n) to prevent; guard against; take precautions; prevention"
insyang,,,印象,(n) Impression; imprint
sinim,,,呻吟,"(v, n) to moan; groan; "
gawso,,,告訴,"(v, n) to press charges; to file a complaint; accuse; accusation; charge; lawsuit"
byuju,,,不足,"(adj, n) insufficient; lacking; deficiency; not enough; inadequate; not worth;"
yongki,,,勇氣,"(n) courage; fearlessness; bravery; valour, valor"
jokseng,,,屬性,(n) attribute; property; feature
jijek,,,指摘,"(v, n) to point out; criticize"
gwasit,,,過失,(n) accident (caused by negligence); error; blunder; fault; defect; misstep
ketdem,,,缺點,(n) weak point; fault; shortcoming; disadvantage
jwaygwa,,,罪過,(n) offense; fault; demerit
gojang,,,故障,(n) breakdown (mechanical); malfunction
byulyang,,,不良,(n) bad; poor; harmful; unhealthy; deficiency
lamlo,,,襤褸,"(adj, n) ragged; shabby; rags, shreds, scraps; tattered clothes"
jindwan,,,診斷,"(v, n) to diagnose; diagnosis"
jeknim,,,責任,"(n) responsibility, duty"
benjwan,,,編纂,"(v, n) to compile; compilation"
japhwadem,,,雜貨店,(n) grocery store; emporium
benheng,,,變形,"(v ,n) to change shape; to morph; metamorphosis"
benjong,,,變種,"(n) mutation; freak; variety; variant; (all taxonomical, negative)"
owan,,,語源,(n) etymology (linguistics); origin of a word; derivation of a word
syuji,,,收支,(n) cash flow; financial balance; income and expenditure
giji,,,記事,"(v, n) to keep a record of events; report; account"
gisyut,,,記述,(v) to write an account (of events)
hwaygey,,,會計,(n) accountant; accountancy; accounting
jibon,,,資本,(n) capital (economics)
mukgek,,,目擊,"(v, n) to see with one's own eyes; to witness; observing; sighting"
bakgi,,,簿記,"(n) bookkeeping; journalization; journalisation,"
wajen,,,訛傳,"(n) mistaken account, miscommunication; unfounded rumor"
mugimeng,,,無記名,"(n) unsigned, unregistered; not bearing a name"
hwayjen,,,回轉,"(v, n) to rotate; to turn round; rotation; turning"
miget,,,未決,"(adj, n) pending, undecided; unconvicted, awaiting judgement"
kawlyo,,,考慮,"(v, n) to think over; to consider; consideration; taking into account"
jangbak,,,帳簿,"(n) account book, register, ledger"
jengsik,,,正式,"(adj, n) formal; official; formality"
jonghap,,,重合,"(v, n) to match up; to coincide; polymerization; polymerisation"
jwiga,,,追加,"(v, n) to add something extra; addition; supplement"
buga,,,附加,"(n) addition, annexation, appendage"
bujokmut,,,附屬物,(n) attachment; appendage; an accessory
iway,,,以外,apart from this; with the exception of; besides
gabap,,,加法,(n) addition (mathematics)
temgajwi,,,添加劑,(n) additive; food additive; addition agent
dyawjet,,,調節,"(v, n) to adjust; regulate; regulation; adjustment; "
syujeng,,,修整,"(v, n) to spruce up; renovate; adjust; retouching; tune"
gwanggaw,,,廣告,"(v, n) to advertise; a commercial; advertisement"
hepdeng,,,協定,"(n) arrangement, pact, agreement; an agreement"
kaget,,,可決,"(v, n) approval, adoption (of a motion, bill, etc.) passage"
jikgwen,,,職權,(n) authority; power over others (government)
gwenneng,,,權能,(n) power and influence; charisma
itwat,,,一月,january; first month (of the lunar year)
niwat,,,二月,february; second month (of the lunar year)
samwat,,,三月,march; third month (of the lunar year)
siwat,,,四月,april; fourth month (of the lunar year)
owat,,,五月,may; fifth month (of the lunar year)
lyukwat,,,六月,june; sixth month (of the lunar year)
citwat,,,七月,july; seventh month (of the lunar year)
batwat,,,八月,august; eighth month (of the lunar year)
gyuwat,,,九月,september; ninth month (of the lunar year)
sipitwat,,,十一月,november; eleventh month (of the lunar year)
sipniwat,,,十二月,december; twelfth month (of the lunar year)
heknin,,,核仁,(n) nucleolus (within nucleus of cell); nuclear (chemistry)
seksyu,,,射手,"(n) archer; shooter (gun, arrows)"
hiyu,,,稀有,"(adj) rare, uncommon"
jwayho,,,最後,(n) end; conclusion; the final; the last; one's end
jwaygaw,,,最高,"(adj, n) most; peak; tallest; maximum"
jwaysen,,,最善,"(adj, n) the best; optimal"
pija,,,,(n) pizza
genkang,,,健康,"(adj, n) health; healthy"
leymun,,,例文,(n) example sentence; sample sentence
benhwanki,,,變換器,(n) converter
sengmo,,,聲母,(n) initial (part of Chinese syllable)
unmo,,,韻母,(n) final (part of Chinese syllable)
jinim,,,兩唇音,(n) bilabial
sinseng,,,神性,(n) deity; divinity
jayley,,,祭禮,(n) rituals; festival (religious); sacred offerings
lyuley,,,流麗,"(adj, n) fluent; elegant; smooth and ornate; flowing (style etc)"
sinyang,,,信仰,(n) faith (religious); belief
lyucang,,,流暢,"(adj, n) fluent (in a language); flowing"
jakkyok,,,作曲,(v) to compose music
,,,,
kuleyji,,,,(adj) crazy (loanword)
kaksin,,,確信,(v) to be sure of
kaksit,,,確實,(adj.) certainly
sinwat,,,新月,(n) new moon; crescent moon
dotong,,,頭痛,"(v,n) to have a headache; headache"
jici,,,智齒,(n) wisdom tooth/teeth
nitjen,,,日前,the other day; a few days ago
ginlay,,,近來,recently; lately
byo,,,,still; yet
wunan,,,,(adj) boring
pwang,,,,(v) to take out; remove; pluck
jwan,,,,"(v) to take, get (something)"
benhaw,,,番号,(n) number; series of digits
dobat,,,頭髮,(n) hair (on the head)
mawbat,,,毛髮,(n) hair (body)
gimbat,,,金髮,"(adj, n) blond; blonde; fair-haired"
hwanman,,,緩慢,"(adj) slow, sluggish, dull; lax, sloppy, lenient"
ninseng,,,人生,(n) (human) life (i.e. conception to death); one's life; human life
gamsyang,,,感想,(n) impressions; reflections; thoughts; reactions
japnem,,,雜念,"(n) distracting thoughts, distractions, stray thoughts"
amsi,,,暗示,"(v, n) to hint; suggest; suggestion; hint"
coyang,,,co樣,such; like that; that sort of
koyang,,,ko樣,this sort of; this kind of; like this; such
hawyang,,,haw樣,what sort of; what kind of; what such
sikaw,,,思考,(n) thoughts; thinking
mukdek,,,目的,"(n) purpose; aim; goal; target; objective"
wigi,,,危機,(n) crisis; emergency
batgwang,,,發狂,"(adj, n) madness; craziness; insanity; crazy; mad; madly; insane"
gipsik,,,給食,"(n) cafeteria-style food (schools, companies)"
singyo,,,剩余,(n) remainder; surplus; leftover
kwadey,,,課題,(n) homework; task; assignment
kongbuk,,,空腹,"(adj, n) hungry; hunger; empty stomach"
suda,,,,already
sigo,,,詩句,(n) verse; line of a poem; a stanza
siga,,,詩歌,(n) poems; poetry
hingmi,,,興味,(n) interest (in something); curiosity
,,,,
deng,,,等,"stuff like; et cetera, etc., and the like, and so forth; or something; the likes of (とか)"
jengmak,,,靜脈,(n) vein (anatomy)
jwi,,,醉,(adj) intoxicated; drunk
sintey,,,身體,(n) body; physique
lwatey,,,裸體,"(adj, n) naked body; nudity"
tentey,,,天體,(n) heavenly body; celestial body; astronomical object
hoban,,,湖畔,(n) lakeside
hoswi,,,湖水,(n) lake
sanbo,,,散步,"(v, n) walk; stroll"
dacay,,,多彩,(adj) colorful; flamboyant; varicoloured; varicolored; multicolored; diverse
dwanjang,,,斷腸,"(adj, n) painful; heartbroken; grieved; heartbreak; grief; sorrow"
doloy,,,,(adj.) dirty; covered in dirt or mud
bubay,,,腐敗,"(adj, v) corrupt; decay; corruption; rotten"
gincingyawpay,,,近親交配,(n) inbreeding; inbred
byulyun,,,不倫,(n) adultery; infidelity; unfaithfulness; affair
baysin,,,背信,(n) betrayal; treachery; treason
tayyanghey,,,太陽系,(n) solar system
dolyaw,,,塗料,(n) paint
getmat,,,結末,(n) end; ending; conclusion (ie. of a book)
juben,,,周邊,(n) around; surroundings; in the area of; rim; perimeter; peripheral 
